"© Copyright The New Zealand Institute for Plant & Food Research Limited and the Ministry of Health (New Zealand) on behalf of the Crown, 2017. All rights reserved."																																																																																						
FoodID	Chapter	Food Name	Alcohol	Alpha-carotene	Alpha-tocopherol	Ash	Available carbohydrate by difference	"Available carbohydrate, FSANZ"	Available carbohydrates by weight	Available carbohydrates in monosaccharide equivalent	Beta-carotene	Beta-carotene equivalents	Beta-tocopherol	Caffeine	Calcium	"Carbohydrate by difference, FSANZ"	Cholesterol	Copper	Delta-tocopherol	Dietary folate equivalents	Dry matter	Edible portion	"Energy, total metabolisable (kcal)"	"Energy, total metabolisable (kcal, including dietary fibre)"	"Energy, total metabolisable (kJ)"	"Energy, total metabolisable (kJ, including dietary fibre)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kcal)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kJ)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ)"	"Fat, total"	Fatty acid 18:3 omega-3	Fatty acid 20:5 omega-3	Fatty acid 22:5 omega-3	Fatty acid 22:6 omega-3	"Fatty acid cis, trans 18:2 omega-9, 11"	"Fatty acid cis,cis 18:2 omega-6"	"Fatty acids, total long chain polyunsaturated omega-3"	"Fatty acids, total monounsaturated"	"Fatty acids, total polyunsaturated"	"Fatty acids, total polyunsaturated omega-3"	"Fatty acids, total polyunsaturated omega-6"	"Fatty acids, total saturated"	"Fatty acids, total trans"	"Fibre, total dietary"	"Fibre, water-insoluble"	"Fibre, water-soluble"	"Folate food, naturally occurring food folates"	"Folate, total"	"Folic acid, synthetic folic acid"	Fructose	Gamma-tocopherol	Glucose	Iodide	Iron	Lactose	Magnesium	Maltose	Manganese	Niacin equivalents from tryptophan	"Niacin equivalents, total"	"Niacin, preformed"	"Nitrogen, total"	Phosphorus	Potassium	"Protein, total; calculated from total nitrogen"	Retinol	Riboflavin	Selenium	Sodium	"Starch, total"	Sucrose	"Sugars, total"	Thiamin	Total carbohydrate by difference	Total carbohydrates by summation	Tryptophan	"Vitamin A, retinol equivalents"	Vitamin B12	Vitamin B6	Vitamin C	Vitamin D; calculated by summation	"Vitamin E, alpha-tocopherol equivalents"	Water	Zinc	
FoodID	Chapter	Food Name	g/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	mg/100g	?g/100g	g/100g	%	kcal/100g	kcal/100g	kJ/100g	kJ/100g	kcal/100g	kJ/100g	kcal/100g	kJ/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	?g/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	g/100g	?g/100g	mg/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	mg/100g	g/100g	g/100g	mg/100g	?g/100g	?g/100g	mg/100g	mg/100g	?g/100g	mg/100g	g/100g	mg/100g	
A1007	A	"Bread, white wheat, sliced, prepacked, composite"	0	0	0.3	1.7	45.18	43.1	43.1	47.17	0	0		0	85	45.18	0	0.15	0	27.8	62	100	230.48	237.68	976.54	1005.34	240.51	1005.34	248.97	1040.7	2.4	0.093					0.556		0.571	0.654	0.093	0.561	0.312		3.6			27.8	27.8	0	0.25	0.5	0.25	0.5	0.96	0.25	28	3.5	800	1.52	2.39	0.87	1.6	88	130	9.12	0	0.04	9	460	38.8	0.05	4.3	0.23	48.78	46.7		0	0	0.07	0	0.27	0.35	38	0.73	
A1008	A	"Bread, wheatmeal, sliced, prepacked, composite"	0	0	0.8	1.9	38.31	36.6	36.6	40.05	0	0		0	86	38.31	0	0.22	0	40.6	60.1	100	214.48	227.48	907.9	959.9	229.64	959.9	236.58	988.9	2.9	0.125					0.729		0.752	0.862	0.125	0.737	0.388		6.5			40.6	40.6	0	0.25	0.2	0.25	0.5	1.7	0.25	60	3	1900	1.75	3.98	2.23	1.8	160	210	10.49	0	0.08	9.1	430	32.8	0.05	3.8	0.34	44.81	43.1		0	0	0.15	0	0.27	0.82	39.9	1.4	
A1009	A	"Bread, mixed grain, light, sliced, prepacked, composite"	0	0	0.5	1.9	41.99	40.7	40.7	44.54	0	0		0	90	41.99	0	0.17	0	33.6	61.7	100	227.64	237.84	963.99	1004.79	240.38	1004.79	245.62	1026.7	2.8	0.156					0.778		0.859	0.941	0.156	0.785	0.416		5.1			33.6	33.6	0	0.25	0.3	0.25	0.5	1.4	0.25	42	3.1	1300	1.65	2.42	0.77	1.7	130	180	9.91	0	0.1	8.7	450	36.6	0.25	4.1	0.24	47.09	45.8		0	0	0.18	0	0.46	0.53	38.3	1.1	
A101	A	"Croissant, plain, composite"	0	0		1.3	41.04	38.63	38.63	42	0	0		0	53.5	41.04	52	0.09		28	78.1	100	398.37	404.17	1664.96	1688.16	403.87	1688.16	413.66	1729.1	22.48	0.157					0.128		4.43	1.135	0.157	0.978	11.589	0.85	2.9			28	28	0	2.28		1.1	0.5	0.92	1.03	23.7	2	585	1.8	2.68	0.88	1.79	113	167	10.38	157.25	0.12	0	380	32.22	0	6.41	0.2	43.94	41.53		157.25	0.24	0.11	1.53	0.09	1.03	21.9	0.94	
A1010	A	"Bread, mixed grain, heavy, sliced, prepacked, composite"	0	0	0.5	1.6	35.92	42.6	42.6	46.63	0	0		0	42	35.92	0	0.14	0	19.4	54.45	100	228.41	239.01	967.88	1010.28	241.69	1010.28	214.53	896.75	2.3	0.121					0.55		0.691	0.677	0.121	0.556	0.219		5.3			19.4	19.4	0	0	0.3	0	2.5	1.1	1.2	40	1.4	1200	1.63	2.25	0.62	1.6	140	200	9.33	0	0.15	5.7	370	38	2	4.6	0.16	41.22	47.9		0	0	0.12	0	0.46	0.53	45.55	1.1	
A1011	A	"Stuffing, from chicken, deli cooked"	0	0	0.29	1.8	21.54	25.78	25.78	28.25	25	25		0	26	21.54	3	0.07	0	20	31.9	100	139.36	143.36	589.78	605.78	144.92	605.78	127.68	533.7	2	0.076	0.002				0.367	0.002	0.983	0.453	0.078	0.375	0.421	0.01	2	1.6	0.4	20	20	0	0	0.04	0	3.8	0.92	0	15	1.1	280	0.76	2.4	1.64	0.8	120	210	4.56	70	0.1	2.7	470	23.58	1.1	2.2	0.12	23.54	27.78		74.18	0.43	0.06	0	0.27	0.3	68.1	0.39	
A1014	A	"Bread, gluten free, white, sliced & unsliced, prepacked, composite"	0	0	0.73	1.4	48.23	43.5	43.5	47.61	0	0		0	10	48.23	0	0.09	0	12.8	57.2	100	215.28	217.28	911.19	919.19	219.9	919.19	239.14	999.6	3	0.117					0.695		0.714	0.818	0.117	0.701	0.39		1			12.8	12.8	0	0.25	0.01	0.25	1.8	0.28	0.25	14	0.15	330	0.6	0.88	0.28	0.6	63	140	3.57	0	0.07	1	370	39.2	3.4	4.3	0.04	49.23	44.5		0	0	0.07	0	0.27	0.74	42.8	0.59	
A1015	A	"Bread, gluten free, mixed grain, sliced, prepacked, composite"	0	0	0.81	1.5	42.04	39.1	39.1	42.87	0	0		0	23	42.04	0	0.18	0.01	21.4	56.5	100	217.74	224.74	919.52	947.52	226.68	947.52	238.64	997.5	4.7	0.292					1.326		1.666	1.618	0.292	1.326	0.527		3.5			21.4	21.4	0	0.25	0.02	0.25	2.1	1.3	0.25	50	1.4	660	0.79	1.51	0.72	0.8	120	170	4.76	0	0.05	2.9	370	36.7	0.25	2.4	0.12	45.54	42.6		0	0	0.16	0	0.46	0.81	43.5	0.94	
A1016	A	"Bread mix, gluten free, Simple Baking Mix, Healtheries, fortified"	0	0	0.73	2	80.84	77.6	77.6	85.12	0	0		0	8.5	80.84	0	0.16	0	582.8	89.4	100	331.56	335.36	1408.51	1423.71	340.6	1423.71	353.76	1478.7	0.5								0.147	0.129			0.128		1.9			15	355	340	0.25	0	0.25	0.5	0.05	0.25	19	0.15	720	0.7	1.12	0.42	0.7	70	78	4.17	0	0.06	4.2	650	73.3	3.4	4.3	2.12	82.74	79.5		0	0	0.06	0	0.27	0.73	10.6	0.72	
